system   D            wsystem.c:583  maybe_parent_dir                 [   0.00266] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00437] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00508] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00957] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.05778] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.05863] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.06041] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.06110] al_display=02E71E80
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.06182] al_display->vt=00908BC8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06729] found 160 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.06798] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06865] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.06931] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07002] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07067] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07129] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.07193] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07257] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.07320] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07390] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.07461] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07528] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07591] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07652] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07707] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07768] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.07831] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07896] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.07961] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08032] Score is : 717
