system   D            wsystem.c:583  maybe_parent_dir                 [   0.00262] Also searching F:\Object Oriented C++ Programming\LUA Project\Y2_LUA_Attack\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00411] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00476] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01983] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.11569] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.11681] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.11869] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.11945] al_display=03671E48
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.12013] al_display->vt=03671510
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.13149] found 160 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.13222] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13303] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13388] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13465] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13540] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13617] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13683] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13750] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13811] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13881] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13983] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.14155] Score is : 897
